date,tavg,tmin,tmax,prcp,wdir,wspd,pres
2022-01-01,-0.7948586377145933,-0.9403909336436264,-0.5803020353533132,-0.3416362338658708,-1.1928602363781566,-1.1298229319660416,1.6496614134949494
2022-01-02,-0.86936387725384,-0.9985257840954066,-0.8176486122334182,-0.3416362338658708,-1.0793001804029276,-1.5260171644975267,1.8246889113857363
2022-01-03,-0.9190340369466712,-0.9258572210306814,-0.8931679776043607,-0.3416362338658708,0.8322940951800949,-1.2618876761432032,1.3473411898654681
2022-01-04,-1.1301322156412033,-0.9839920714824615,-1.0765721506480785,1.536024131512868,0.8039040811862876,1.009625923703978,-0.2915526540207967
2022-01-05,-1.3163953144893201,-1.1147954849989672,-1.4218035352009586,0.9444325095442243,1.3527776850665614,0.9568000260331135,0.2017066582168173
2022-01-06,-1.5399110331070602,-1.579874288613209,-1.5620537851755663,-0.3416362338658708,1.0878042211243604,-1.2090617784723385,0.5835848354330282
2022-01-07,-1.4529882536446055,-1.6961439895167694,-1.2060339198554084,-0.3416362338658708,1.8448712609592208,-0.8128675459408534,1.5541918691909105
2022-01-08,-1.6268338125695145,-1.7688125525814948,-1.5404768236410111,-0.3416362338658708,0.8890741231677094,-0.9977581877888798,1.856512092820428
2022-01-09,-0.9562866567162943,-1.332801174193143,-0.9578988622080259,-0.3416362338658708,1.0878042211243604,2.066143877121272,0.8859050590625277
2022-01-10,-0.6210130787896844,-0.7369189570623954,-0.7097638045606431,-0.3416362338658708,1.5420444450252766,0.2172374586410078,0.5835848354330282
2022-01-11,-0.9066164970234634,-0.9694583588695165,-0.8284370930006957,-0.3416362338658708,-1.1644702223843495,0.1644115609701433,1.1882252826920454
2022-01-12,-1.142549755564411,-1.1147954849989672,-1.1844569583208535,-0.3416362338658708,-1.0982268563987991,-0.20536972272590956,1.7769541392337167
2022-01-13,-1.3536479342589434,-1.3909360246449232,-1.4218035352009586,-0.3416362338658708,-0.8237900544586623,-0.6015639552573947,2.5247989029487745
2022-01-14,-1.5026584133374368,-1.5944080012261541,-1.4973229005719013,-0.3416362338658708,-0.9846668004235701,-0.8921063924471504,2.4929757215141186
2022-01-15,-1.5647461129534757,-1.7542788399685498,-1.4973229005719013,-0.3416362338658708,-1.0225201524153131,-1.3411265226495002,1.9519816371244672
2022-01-16,-1.5647461129534757,-1.81241369042033,-1.4325920159682362,-0.3416362338658708,-1.0225201524153131,-1.4203653691557971,2.1588323164499092
2022-01-17,-1.4529882536446055,-1.6816102769038244,-1.2707648044590736,-0.3416362338658708,-0.9846668004235701,-1.103409983130609,2.4134177679274074
2022-01-18,-1.3288128544125277,-1.6670765642908794,-1.0873606314153559,-0.3416362338658708,-1.0509101664091203,-1.3939524203203648,2.174743907167273
2022-01-19,-1.3039777745661123,-1.5944080012261541,-1.0873606314153559,-0.3416362338658708,-1.069836842404992,-1.2618876761432032,2.0315395907111786
2022-01-20,-1.1922199152572421,-1.6380091390649894,-1.0334182275789683,-0.3416362338658708,-1.0793001804029276,-0.36384741573850354,1.7928657299510444
2022-01-21,-1.4405707137213979,-1.5944080012261541,-1.4218035352009586,-0.3416362338658708,-1.0887635184008635,0.0851727144638461,1.5382802784735825
2022-01-22,-1.42815317379819,-1.565340576000264,-1.3786496121318486,-0.3416362338658708,-1.0414468284111846,0.005933867957549353,1.9997164092764868
2022-01-23,-1.3288128544125277,-1.3909360246449232,-1.3786496121318486,-0.3416362338658708,-0.9278867724359555,-0.49591215991566523,1.5701034599082382
2022-01-24,-1.2294725350268656,-1.1583966228378022,-1.4649574582700686,-0.3416362338658708,-1.0130568144173773,-0.6543898529282591,1.6814845949296413
2022-01-25,-1.0680445160251644,-1.1147954849989672,-1.259976323691796,-0.3416362338658708,-0.8048633784627908,-0.41667331340936803,2.1429207257325817
2022-01-26,-1.254307614873281,-1.3618685994190332,-1.259976323691796,-0.3416362338658708,-0.9373501104338913,-0.46949921108023296,1.9838048185591588
2022-01-27,-1.09287959587158,-1.2601326111284177,-0.9902643045098583,-0.3416362338658708,-1.0130568144173773,-0.36384741573850354,1.840600502103064
2022-01-28,-1.043209436178749,-1.2165314732895824,-0.8500140545352508,-0.3416362338658708,-1.0509101664091203,0.0323468167929816,2.206567088601929
